county_id,last_update,confirmed,new_confirmed,deaths,new_deaths,fatality_rate
36061,2020-03-23T00:00:00Z,13119,2355,125,27,0.01
36119,2020-03-23T00:00:00Z,2894,1021,0,0,0.0
36059,2020-03-23T00:00:00Z,2442,542,4,0,0.002
36103,2020-03-23T00:00:00Z,1458,424,13,1,0.009
36087,2020-03-23T00:00:00Z,592,137,1,0,0.002
36071,2020-03-23T00:00:00Z,389,142,0,0,0.0
36001,2020-03-23T00:00:00Z,127,4,0,0,0.0
,2020-03-23T00:00:00Z,1524,1524,35,1,0.023
36027,2020-03-23T00:00:00Z,100,18,1,0,0.01
36029,2020-03-23T00:00:00Z,87,31,0,0,0.0
36055,2020-03-23T00:00:00Z,81,13,2,1,0.025
36067,2020-03-23T00:00:00Z,53,8,0,0,0.0
36091,2020-03-23T00:00:00Z,53,18,0,0,0.0
36093,2020-03-23T00:00:00Z,44,12,0,0,0.0
36079,2020-03-23T00:00:00Z,45,14,0,0,0.0
36083,2020-03-23T00:00:00Z,29,9,0,0,0.0
36111,2020-03-23T00:00:00Z,35,17,0,0,0.0
36021,2020-03-23T00:00:00Z,17,0,0,0,0.0
36109,2020-03-23T00:00:00Z,15,0,0,0,0.0
36105,2020-03-23T00:00:00Z,23,11,0,0,0.0
36063,2020-03-23T00:00:00Z,10,1,0,0,0.0
36065,2020-03-23T00:00:00Z,7,3,0,0,0.0
36069,2020-03-23T00:00:00Z,6,2,0,0,0.0
36019,2020-03-23T00:00:00Z,6,2,0,0,0.0
36101,2020-03-23T00:00:00Z,5,1,0,0,0.0
36043,2020-03-23T00:00:00Z,4,1,0,0,0.0
36007,2020-03-23T00:00:00Z,7,4,1,0,0.143
36057,2020-03-23T00:00:00Z,3,0,0,0,0.0
36031,2020-03-23T00:00:00Z,3,0,0,0,0.0
36117,2020-03-23T00:00:00Z,6,3,0,0,0.0
36039,2020-03-23T00:00:00Z,4,2,0,0,0.0
36003,2020-03-23T00:00:00Z,2,0,0,0,0.0
36121,2020-03-23T00:00:00Z,4,2,1,1,0.25
36041,2020-03-23T00:00:00Z,2,0,0,0,0.0
36017,2020-03-23T00:00:00Z,3,1,0,0,0.0
36051,2020-03-23T00:00:00Z,3,1,0,0,0.0
36023,2020-03-23T00:00:00Z,2,0,0,0,0.0
36075,2020-03-23T00:00:00Z,2,0,0,0,0.0
36015,2020-03-23T00:00:00Z,2,0,0,0,0.0
36025,2020-03-23T00:00:00Z,3,2,0,0,0.0
36107,2020-03-23T00:00:00Z,1,0,0,0,0.0
36037,2020-03-23T00:00:00Z,1,0,0,0,0.0
36113,2020-03-23T00:00:00Z,2,1,0,0,0.0
36115,2020-03-23T00:00:00Z,3,2,0,0,0.0
36095,2020-03-23T00:00:00Z,1,0,0,0,0.0
36035,2020-03-23T00:00:00Z,1,0,0,0,0.0
36045,2020-03-23T00:00:00Z,2,1,0,0,0.0
36053,2020-03-23T00:00:00Z,4,4,0,0,0.0
36077,2020-03-23T00:00:00Z,1,1,0,0,0.0
